source,edit,sentence,labels,short answer
Bacteria,1,Generate: What are bacteria?,"Bacteria are microorganisms, which perform many different functions in the world.",Bacteria
Bacteria,1,Generate: What can bacteria produce?,Some bacteria are used in the production of cheeses and fermented meats.,bacteria
Bacteria,1,Generate: Are bacteria used to make pharmaceutical products?,Some bacteria are used to make pharmaceutical products.,bacteria
Bacteria,1,Generate: Are bacteria used to reduce pollution?,"Recently, bacteria have even been used to reduce pollution.",bacteria
Bacteria,1,Generate: Are bacteria harmful?,Most bacteria are not harmful.,bacteria
Bacteria,0,Generate: What are some bacteria that cause human diseases?,A few bacteria cause human diseases such as listeria and shigellosis.,listeria and shigellosis
Bacteria,0,"Generate: What is a type of bacteria found in soil, water, and even some poultry and cattle?","Listeria is a type of bacteria found in soil, water, and even some poultry and cattle.",Listeria
Bacteria,0,Generate: What type of space does Listeria grow in?,Listeria is unusual in that it is able to grow in cold spaces like the refrigerator.,cold
Bacteria,0,"Generate: The elderly, pregnant women and chronically ill are most susceptible to serious illness from what?","The elderly, pregnant women, and the chronically ill are most susceptible to serious illness from listeria.",listeria
Bacteria,0,Generate: What is shigellosis?,Shigella cause intestinal infections called shigellosis.,intestinal infections
Bacteria,0,Generate: What bacteria are spread from person to person?,Shigella bacteria are spread from person to person.,Shigella bacteria
Bacteria,0,Generate: What is the most common shigella symptom?,"The most common symptom of shigella is diarrhea, and the best treatment is to rest and drink plenty of fluids.",diarrhea
Bacteria,0,Generate: What is a group of drugs that combat bacterial infections called?,Scientists have developed a group of drugs that combat bacterial infections called antibiotics.,antibiotics
Bacteria,0,Generate: What type of infections can antibiotics be prescribed for?,Antibiotics can be prescribed for listeria infections.,listeria infections
Bacteria,0,Generate: In mild cases of what type of disease can antibiotics not be used?,Antibiotics may not be used in mild cases of shigellosis due to the possibility of the bacteria building a resistance.,shigellosis
Viral-Gastroenteritis,1,Generate: What is the most common cause of Viral Gastroenteritis?,"Norovirus is the most common cause of Viral Gastroenteritis, the largest contributor of foodborne-disease outbreaks in the United States.",Norovirus
Viral-Gastroenteritis,1,Generate: How can you get Norovirus?,"You can get Norovirus from an infected person, contaminated food or water, or by touching contaminated surfaces.",contaminated food or water
Viral-Gastroenteritis,1,Generate: Who can be infected with Norovirus?,Anyone can be infected with Norovirus and get sick.,Norovirus
Viral-Gastroenteritis,1,Generate: How many times can you have Viral Gastroenteritis in your life?,You can have Viral Gastroenteritis many times in your life.,Viral Gastroenteritis
Viral-Gastroenteritis,1,Generate: What does Viral Gastroenterities cause?,Viral Gastroenterities causes your stomach or intestines or both to get inflamed.,Viral Gastroenterities
Viral-Gastroenteritis,1,Generate: What is the common symptoms of Viral Gatroenteritis?,"Common symptoms of Viral Gatroenteritis include stomach pain, nausea, diarrhea, and vomiting.",Viral Gatroenteritis
Viral-Gastroenteritis,0,Generate: What can the symptoms of Viral Gastrointeritis cause?,"The symptoms of Viral Gastrointeritis can lead to dehydration, especially in young children, older adults, and people with other illnesses.",dehydration
Viral-Gastroenteritis,0,Generate: How many days do people with Viral Gastroenteritis get better?,Most people with Viral Gastroenteritis get better within 1 to 3 days.,1 to 3 days
Viral-Gastroenteritis,1,Generate: How can we prevent Viral Gastroenteritis?,"Prevention of Viral Gastroenteritis includes washing your hands carefully with soap and water, especially after using the toilet and changing diapers.",soap and water
Viral-Gastroenteritis,1,"Generate: Before eating, preparing, or handling food, what is important to do?","It is important to wash your hands before eating, preparing, or handling food.",wash your hands
Viral-Gastroenteritis,0,Generate: What can be found in your vomit or stool before you start feeling sick?,Noroviruses can be found in your vomit or stool even before you start feeling sick.,Noroviruses
Viral-Gastroenteritis,0,Generate: How long can Norovirus stay in your stool?,"Norovirus can stay in your stool for 2 weeks or more after you feel better, so it is important to continue washing your hands often during this time.",2 weeks
Viral-Gastroenteritis,1,Generate: What is the treatment for people with Viral Gastroenteritis?,There is no specific therapy to treat people with Viral Gastroenteritis caused by Norovirus infection.,Norovirus infection
Viral-Gastroenteritis,0,Generate: What is the most common complication that may require medical care for Viral Gastroenteritis?,Dehydration is the most common complication that may require medical care for Viral Gastroenteritis.,Dehydration
Viral-Gastroenteritis,1,Generate: What is the treatment for Viral Gastroenteritis?,Treatment for Viral Gastroenteritis includes replacing fluids lost from vomiting and diarrhea and correcting electrolyte disturbances.,electrolyte
Viral-Gastroenteritis,0,Generate: What type of dehydration is the oral rehydration used for?,Oral rehydration with fluids and giving fluids intravenously are used for severe dehydration.,severe dehydration
Viral-Gastroenteritis,1,Generate: What should we do if someone is severely dehydrated?,"If you think you or someone you are caring for is severely dehydrated, call the doctor.",severely dehydrated
SizeComparisonPoster,0,Generate: What is much larger than a virus?,Bacteria is much larger than a virus.,Bacteria
SizeComparisonPoster,1,Generate: What is the size of bactecria?,Bacteria is one thousand times the size of a virus.,one thousand times
Anthrax,0,Generate: What is the cause of Anthrax?,Bacillus anthracis bacteria are the cause of the disease Anthrax.,Bacillus anthracis
Anthrax,0,Generate: What bacteria lives as a spore in the soil?,"Bacillus anthracis bacteria lives as a spore in the soil, and it germinates and reproduces bacteria once inside an animal or human.",Bacillus anthracis
Anthrax,0,Generate: What type of animal does anthrax affect?,"Anthrax typically affects livestock, but it can also affect humans.",livestock
Anthrax,1,Generate: How many types of anthrax are there?,There are three different types of anthrax.,anthrax
Anthrax,0,Generate: What is the most common form of anthrax?,"The most common form of anthrax is cutaneous anthrax, which affects the skin.",cutaneous anthrax
Anthrax,0,Generate: Cutaneous anthrax occurs from direct contact with what?,Cutaneous anthrax occurs from direct contact with spores or bacteria.,spores or bacteria
Anthrax,0,Generate: What is inhalation anthrax?,Inhalation anthrax occurs when the spores are inhaled and begin infection in the lungs.,spores
Anthrax,1,Generate: What can humans get anthrax?,Humans may also get anthrax by eating meat contaminated by anthrax spores or bacteria.,anthrax
Anthrax,0,Generate: What happens when humans eat meat contaminated by anthrax spores or bacteria?,Gastrointestinal anthrax occurs when humans eat meat contaminated by anthrax spores or bacteria.,anthrax
Anthrax,1,Generate: Is there a vaccine available for anthrax?,"There is a vaccine available for anthrax, but it is not recommended for the general public.",anthrax
Anthrax,1,Generate: How many doses of vaccine are required over an extended period of time?,Multiple doses of the anthrax vaccine are required over an extended period of time.,anthrax vaccine
Anthrax,1,Generate: Who is the anthrax vaccine recommended for?,"Anthrax is not a common disease, and the anthrax vaccine is only recommended for people who are in the military or have a job that puts them in contact with livestock or slaughtered animals.",anthrax vaccine
Anthrax,0,Generate: What organization supports research to develop new vaccines for anthrax?,"The National Institute of Allergy and Infectious Diseases currently supports research to develop new vaccines for anthrax, which may eventually be available to a wider population.",National Institute of Allergy and Infectious Diseases
Anthrax,0,Generate: What can be used to diagnose anthrax?,Blood cultures or sputum cultures may be used to diagnose anthrax.,Blood cultures
Anthrax,1,Generate: How do we treat people infected with anthrax?,People infected with anthrax are typically treated with a combination of antibiotics.,anthrax
E-coli,0,Generate: What is the abbreviation for the bacteria called Escherichia coli?,E. coli is the abbreviation for the bacteria named Escherichia coli.,E. coli
E-coli,0,Generate: What is one of the most studied bacteria in the world?,E. coli are among the most studied bacteria in the world.,E. coli
E-coli,0,Generate: What type of organisms do E. coli bacteria normally live in?,E. coli bacteria normally live in the intestines of animals and humans.,intestines
