topic,context,sentence,labels
GEMSTEP_Observing,Some bees lived,"Type: GEMSTEP_Observing, context: Some bees lived, response: The parking lot has too many clouds",Air pollution makes it harder for bees to follow the scent of flowers and find food. How did you manage to keep so many bees alive?
GEMSTEP_Observing,All the bees died,"Type: GEMSTEP_Observing, context: All the bees died, response: The parking lot has too many clouds","A few cars might not do much, but a whole parking garage full of cars adds a lot of pollution to the air! And air pollution makes it harder for bees to follow the scent of flowers and find food."
GEMSTEP_Observing,Some bees lived,"Type: GEMSTEP_Observing, context: Some bees lived, response: The parking lot has pollution",Air pollution makes it harder for bees to follow the scent of flowers and find food. How did you manage to keep so many bees alive?
GEMSTEP_Observing,All the bees died,"Type: GEMSTEP_Observing, context: All the bees died, response: The parking lot has pollution","A few cars might not do much, but a whole parking garage full of cars adds a lot of pollution to the air! And air pollution makes it harder for bees to follow the scent of flowers and find food."
GEMSTEP_Observing,Some bees lived,"Type: GEMSTEP_Observing, context: Some bees lived, response: The air in the parking lot is bad for the bees",Air pollution makes it harder for bees to follow the scent of flowers and find food. How did you manage to keep so many bees alive?
GEMSTEP_Observing,All the bees died,"Type: GEMSTEP_Observing, context: All the bees died, response: The air in the parking lot is bad for the bees","A few cars might not do much, but a whole parking garage full of cars adds a lot of pollution to the air! And air pollution makes it harder for bees to follow the scent of flowers and find food."
GEMSTEP_Observing,Few flowers were pollinated,"Type: GEMSTEP_Observing, context: Few flowers were pollinated, response: Bees visit the close flowers more","Ah, so flowers closer to the hive get visited more often by the bees. I wonder if that is why so few flowers were pollinated?"
GEMSTEP_Observing,Many flowers were pollinated,"Type: GEMSTEP_Observing, context: Many flowers were pollinated, response: Bees visit the close flowers more","Ah, so flowers closer to the hive get visited more often by the bees. Is that how you pollinated so many flowers?"
GEMSTEP_Observing,Few flowers were pollinated,"Type: GEMSTEP_Observing, context: Few flowers were pollinated, response: Bees mostly visited the flowers near the hive","Ah, so flowers closer to the hive get visited more often by the bees. I wonder if that is why so few flowers were pollinated?"
GEMSTEP_Observing,Many flowers were pollinated,"Type: GEMSTEP_Observing, context: Many flowers were pollinated, response: Bees mostly visited the flowers near the hive","Ah, so flowers closer to the hive get visited more often by the bees. Is that how you pollinated so many flowers?"
GEMSTEP_Observing,Few flowers were pollinated,"Type: GEMSTEP_Observing, context: Few flowers were pollinated, response: We only visited the close flowers","Ah, so flowers closer to the hive get visited more often by the bees. I wonder if that is why so few flowers were pollinated?"
GEMSTEP_Observing,Many flowers were pollinated,"Type: GEMSTEP_Observing, context: Many flowers were pollinated, response: We only visited the close flowers","Ah, so flowers closer to the hive get visited more often by the bees. Is that how you pollinated so many flowers?"
GEMSTEP_Observing,Few flowers were pollinated,"Type: GEMSTEP_Observing, context: Few flowers were pollinated, response: The faraway flowers got visited less","Ah, so flowers closer to the hive get visited more often by the bees. I wonder if that is why so few flowers were pollinated?"
GEMSTEP_Observing,Many flowers were pollinated,"Type: GEMSTEP_Observing, context: Many flowers were pollinated, response: The faraway flowers got visited less","Ah, so flowers closer to the hive get visited more often by the bees. Is that how you pollinated so many flowers?"
GEMSTEP_Observing,Few flowers were pollinated,"Type: GEMSTEP_Observing, context: Few flowers were pollinated, response: The close flowers were easier to get to","Ah, so flowers closer to the hive get visited more often by the bees. I wonder if that is why so few flowers were pollinated?"
GEMSTEP_Observing,Many flowers were pollinated,"Type: GEMSTEP_Observing, context: Many flowers were pollinated, response: The close flowers were easier to get to","Ah, so flowers closer to the hive get visited more often by the bees. Is that how you pollinated so many flowers?"
